ID	group	Odoribacter splanchnicus	Bacteroides uniformis	Monoglobus pectinilyticus	Fusicatenibacter saccharivorans	Alistipes shahii	Desulfovibrio simplex	Gemmiger formicilis	Oleidesulfovibrio alaskensis	Ruminococcus gnavus	Phocaeicola dorei	Oscillibacter valericigenes	Bifidobacterium longum	Lachnoclostridium pacaense	Neglectibacter timonensis	Enterocloster clostridioformis	Hydrogenophilus thermoluteolus	Anaerostipes hadrus	Bacteroides fragilis	Blautia luti	Blautia faecis
SRR3143900	Health	0.616521573	9.093191152	0.032131417	1.534275186	0	0	0.501049292	0	0	1.456958962	0.05321766	0.537197136	0.010041068	0.037151951	0	0	1.651755681	0.383568796	0.649657098	0.664718699
SRR3143933	Health	0.84008987	7.264091042	0	0.98173293	0.116000781	0	0.808342288	0	0	2.378626551	0.180717007	0.192927616	0.009768487	0	0	0	1.125818111	0.453013578	0.404171144	0.476213734
SRR3143944	Health	0.609975136	0	0.081705676	0.033104886	0	0	0.859318321	0	0.172568023	0	0.346544766	0.095088503	0.120445437	0.657871567	0.110584407	0	0.1366457	2.839976615	1.137540237	0.77268213
SRR3143946	Health	0.353914214	21.61184843	0	0.061550298	0.850163493	0	0.184650894	0	1.945245881	0	0.20516766	0.170545618	0.064114894	0.362890299	0.16285183	0	1.943963583	0	0.437263576	1.852920433
SRR3143947	Health	0.479838663	42.11569443	0	0	0.206307444	0	0.340754993	0	0.343073054	0	0.273531218	0.063746682	0	0.326846625	0.035929948	0	1.417494408	0.009272245	0.097358569	0.766119218
SRR3143948	Health	0.300870067	22.93673746	0	0.084734835	0.875593297	0	0.202012759	0	1.000239468	0	0.234555848	0.077980609	0.027630925	0.230257704	0.11236576	0	0.414463868	0.058331952	0.651475798	1.021116167
SRR3143949	Health	0.359646263	30.55770641	0	0.008150624	1.08810824	0	0.066223816	0	0.534884669	0	0.195614965	0.076412096	0.014263591	0.038715462	0.031583666	0	0.413644144	0.018338903	0.455416089	0.560355367
SRR3143950	Health	0.403839648	16.31850474	0	0.056030108	0.714648173	0	0.11417456	0	0.384810555	0	0.200862652	0	0.04017253	0.072944858	0.10254567	0	0.190290934	0.43344046	0.297065291	0.546557848
SRR3144042	Health	0.538298386	22.49308669	0	0.03758692	0.699385185	0	0.331570328	0	0.684618895	0	0.096652079	0.135581389	0.652401536	0	0.089940129	0	1.240368352	0.01476629	0.307407308	1.668590759
SRR3144056	Health	1.519802211	7.777674115	0.020058777	1.790828941	0.111955964	0	1.849139339	0	0.022391193	0.48654196	1.63828894	0.693660494	0.010729113	0.295283855	0.087232355	0	1.527732425	0	0.046648318	0.593366609
SRR3144066	Health	0.77523575	6.747121616	0.032470607	0.723823955	0.403176708	0	0.469470864	0	0	0.386941404	0.906471121	0.179941282	0.004058826	0.320647247	0	0	0.496529704	0	0.032470607	0.169117747
SRR3144068	Health	0.783302345	5.111257722	0	0.087566725	0.521801715	0	0.155940743	0	0	0.27589516	0.759311462	0.098362622	0	0.097163078	0	0	0.233911114	0	0	0.008396809
SRR3144071	Health	1.825970067	14.69684009	0.023797426	0.750905267	0.098083986	0	1.130056149	0	0.105480483	1.510814965	1.953640041	0.745759878	0.01929521	0.051453894	0.208709858	0	1.242289956	0.002251108	0.074929733	0.518397983
SRR3144090	Health	1.196097925	5.804181683	0.032620852	1.634926059	0.102522679	0	1.199204673	0	0.037280974	1.370852492	0.4706723	2.430253511	0	0.034174226	0.087765627	0	1.653566547	0.017087113	0.159997515	0.510283335
SRR3145342	Health	0.169193894	0.622941154	0.074342771	2.473819809	0.097414666	0	0.358896138	0	0.080751631	2.876296192	0.36658677	0.335824243	0.346078419	0.041016701	0.094851122	0	1.864978146	0.349923735	0.661394311	0.651140136
SRR3145357	Health	0.931369354	1.049772969	0.002824306	1.857090095	0.205088097	0	0.203784571	0	0.204653588	1.118642595	0.442329836	0.131438875	0.32392622	0.042147342	0.126442026	0	2.028721024	0.869669122	0.702817789	0.354993591
SRR3145358	Health	1.034457096	2.970653172	0.011163206	1.703009104	0.228225546	0	0.50358463	0	0.133958473	1.227952668	0.812433331	0.140160254	0.543276029	0.022326412	0.104189923	0	1.772469053	0.943911091	0.449008955	0.321252264
DRR100563	Health	0	1.378000682	0.822905001	3.296489263	0	0	0.608657545	0.034084823	0.282417101	0	0	0	0	0.116862249	0	0	2.040220091	0	3.335443346	1.124799143
DRR100572	Health	0.265200517	18.82276843	0.103492885	0.533635188	0	0	0	1.733505821	0.132600259	0	0	0	0	0.837645537	0.161707633	0	0.520698577	0	0.119663648	1.801423027
SRR13174100	Health	0.148400332	29.4443717	2.169263672	0.29025359	0.82056654	0	0.432106848	0.122212038	0	6.758762167	0.318624242	0	0.111300249	0.115664964	0.030553009	0	0.12002968	0	0.224782855	0.067653092
SRR13174088	Health	0.228388998	15.03069745	1.037573674	0.986001965	0.881630648	0	0.477652259	0.563605108	0.13629666	0	0.56237721	0	0.022102161	0.112966601	0.057711198	0	0.144891945	0	0.135068762	0.040520629
