ID	group	Lachnoclostridium pacaense	Blautia obeum	Bacteroides uniformis	Coprococcus comes	Lawsonibacter asaccharolyticus	Romboutsia timonensis	Anaerobutyricum hallii	Papillibacter cinnamivorans	Dorea formicigenerans	Lachnospira eligens	Monoglobus pectinilyticus	Clostridium leptum	Odoribacter splanchnicus	Prevotella copri	Akkermansia muciniphila	Ruthenibacterium lactatiformans	Neglectibacter timonensis	Anaerostipes hadrus	Bifidobacterium adolescentis	Clostridium spiroforme
SRR2651094	Health	0	3.057317495	3.456348749	0.43247607	0.463614347	0.274478146	0.754238265	0.228347365	0	2.372275401	0	0.086495214	0.613539384	0	0	0	0	1.206319917	0.487833007	0
SRR2651095	Health	0	1.882536297	3.390479315	0.954939436	0.726628934	0.211221393	2.065731551	0.282995653	0	1.499056681	0	0.02187406	0.635714872	0	0	0.013671288	0	0.544117245	0.842151314	0
SRR2651096	Health	0.000694309	2.046129919	2.945260644	0.674174466	0.417974283	0.320770961	1.05326742	0.339517316	0	3.11050629	0	0	0.50823451	0	0	0.013886189	0	0.536006888	0.64431916	0
SRR2651139	Health	0	2.751229953	1.713759122	0.58562107	0.860595431	0.328482885	1.669168686	0.191738878	0	0.8472183	0	0	0.477117674	0	0	0	0	0.970585175	0.848704648	0
SRR2651208	Health	0.004120168	2.506239111	5.74586806	0.726326694	0.214248717	0.290766116	1.163064463	0.083580543	0	1.251942365	0	0	0.79813533	0	0.004120168	0.012949098	0	0.507369214	0.138908509	0
SRR2651293	Health	0	3.936721951	2.961816876	0.836760631	0.503635172	1.146204185	1.700360754	0.289708634	0	1.729568437	0	0.050521397	0.954380758	0	0.00236819	0.018945524	0	1.25198336	0.884124441	0
SRR2651338	Health	0	4.022994803	2.191372566	0.581078959	0.288165492	0.315922878	1.937538577	0.092402877	0	2.352073221	0	0	0.518259612	0.031044445	0	0.012783007	0	1.695757137	0.769171771	0
SRR2651405	Health	0	3.005410117	3.188273974	0.698293587	0.389414741	0.17717897	1.662829368	0.252029978	0	3.620325365	0	0	0.54953905	0	0	0	0	0.825256057	0.618705172	0
SRR2651491	Health	0	4.235708151	1.417768188	0.601210801	0.369105725	0.430274211	1.658671471	0.082535559	0	4.519764543	0	0.034773865	0.260594507	0.05069443	0	0	0	1.121980853	0.925487567	0
SRR2651514	Health	0.0135788	4.513878963	4.455990395	0.531002544	0.257282525	1.340727824	1.472942454	1.075583888	0	0.770418227	0	0.12435322	2.965895772	0.027872274	0	0.080043452	0	1.690917927	0.655355765	0
SRR2651569	Health	0.00035579	3.681710636	2.61291872	0.362905378	0.358991692	0.376425382	1.882838489	0.167932685	0	2.081369078	0	0.015298952	0.938572928	0.065821073	0	0.023126323	0	0.832903421	1.027876114	0
SRR2651606	Health	0.011316764	5.13546947	2.642659518	0.397647674	1.95819041	0.77383252	2.027261694	0.266139071	0	1.531665476	0	0.019511662	0.774612986	0.087412246	0	0.018731196	0	1.705709503	0.661445346	0
SRR2651639	Health	0	3.988799115	2.771327162	0.445181658	0.513671143	0.461590597	1.188934667	0.117359588	0	2.417464819	0	0.02175968	0.782278346	0.147323738	0	0.007134321	0.010344766	1.121872046	0.25790572	0
SRR2651640	Health	0	4.922430888	3.231540884	0.404992418	0.392394728	1.060538901	1.311559547	0.145573312	0	0.295812434	0	0	0.890703371	0.004665811	0.012131109	0	0.015397177	0.671410241	0.945759944	0
SRR2651641	Health	0	3.763607638	1.713113591	0.504748095	0.731752479	0.349403993	1.25790247	0.153420336	0	1.097989424	0	0.015149657	0.697365162	0.028375548	0	0.010340242	0.014668715	1.395932678	1.174459121	0
SRR2651642	Health	0.009339859	5.079015205	1.229872604	0.626144133	0.716180371	0.439346957	1.807075877	0.560765121	0	1.571711436	0	0.143833825	0.67657937	0.117308626	0	0.025404416	0.018306123	1.029999626	1.774946763	0
SRR2651643	Health	0	3.300795009	3.220287813	0.613867364	0.543423568	0	1.942236087	0	0	1.257924927	0	0	0.754754956	0.150950991	0	0	0	1.418939318	2.968702828	0
SRR2651644	Health	0.000271311	2.812950206	2.506911642	0.648432773	0.157088944	1.170434721	1.761078298	0.122361163	0	0.740407129	0	0.018177823	0.812304487	0.061587548	0	0.016007336	0	3.051161074	1.364421932	0
SRR2651645	Health	0.007657261	2.988246104	3.20360657	0.759025996	0.46326429	0.453692714	1.234733336	0.190474367	0	0.277575711	0	0.055515142	0.847084498	1.216547341	0	0	0	1.372564034	0.569508787	0
SRR2651646	Health	0	2.459401598	2.34452509	0.971228656	0	0.908568743	1.02866691	0	0	1.388961412	0	0	0.245417994	0.297634588	0	0	0	1.227089969	0.203644718	0
SRR2651647	Health	0.000952104	0.856417898	0.684563055	0.493666126	0.81785767	0.243738724	3.051018514	0.4989027	0	0.526037675	0	0.032847601	0.414165409	0	3.196690485	0.044272854	0.474624038	2.851552644	1.911825613	0
SRR2651648	Health	0.000796876	0.690891705	0.570563392	0.63670412	0.679735437	0.46696948	2.306159853	0.427922544	0	0.451031955	0	0.035859431	0.368156825	0	0.938720217	0.048609451	0.415172524	3.593114989	1.746752729	0
SRR2651649	Health	0.003947713	0.656800675	0.651866034	0.599065379	0.346411776	0.364176482	2.367147136	0.225513079	0	0.418950994	0	0.01332353	0.34443792	0	0.38687583	0.035035949	0.226006543	2.583777862	2.054784381	0
SRR2651650	Health	0.005038748	0.78251756	0.572905644	0.394533966	0.797129929	0.605153631	2.639296188	0.435347825	0	1.00623797	0	0	0.300309379	0	0.588525763	0.035775111	0.47263456	1.249609497	1.262710242	0.011085246
SRR2651651	Health	0.002841416	0.750133952	0.670574291	0.301190148	0.705889039	0.587767296	3.086996054	0.41809414	0	0.679910374	0	0	0.31296173	0	0.399016058	0.038156164	0.32026823	1.10693468	1.336277582	0
