ID	group	Oscillibacter valericigenes	Blautia faecis	Akkermansia muciniphila	Blautia luti	Bacteroides uniformis	Fusicatenibacter saccharivorans	Parabacteroides merdae	Alistipes putredinis	Ruminococcus gnavus	Lachnospira eligens	Roseburia intestinalis	Collinsella aerofaciens	Faecalibacterium prausnitzii	Phocaeicola vulgatus	Erysipelatoclostridium ramosum	Eubacterium rectale	Gemmiger formicilis	Loriellopsis cavernicola	Bacteroides stercoris	Anaerostipes hadrus
DRR100552	UC	0	0.203911777	0	0	0.728256346	0.678318768	0	0	1.872659176	0	0	0	5.663753641	52.91718685	0.058260508	0	0	0.024968789	0	0.453599667
DRR100553	UC	0	0	0	0	0.489165589	0.533635188	0	0	6.169146184	0	0.040426908	0	3.666720569	36.91785252	0.331500647	0	0	0	0	0.380012937
DRR100554	UC	0	0.153086871	0	0	0.642050907	2.079239592	0	0	1.754786821	0	0	0	8.284970068	48.66563086	0.164511264	0	0	0	0	0.411278161
DRR100555	UC	0	0.28395646	0	0.624704212	10.81874113	0	0	1.826786559	0	0	0	0	20.64363464	0	0	0	0	0	0	0
DRR100556	UC	0	0	0	0	0	0	0	0	0	0	0	0	5.714285714	10.79365079	0	0	0	8.888888889	0	0
DRR100557	UC	0	0	0	0.415224913	0.207612457	0	0	0	1.038062284	0	0	0	4.46366782	51.03806228	1.003460208	0	0	0	0.657439446	1.418685121
DRR100558	UC	0	0.5762672	0	0	0	0.176408326	0	0	0.211689992	0.058802775	7.17393861	0	7.703163589	7.609079149	1.034928849	7.326825826	0	0	0	12.71316006
DRR100559	UC	0	0	0	0.061967467	0.0697134	0	0.092951201	0	0	0.627420604	3.237800155	0.580945004	7.776917119	27.88536019	1.076684741	6.553059644	0	0	0.542215337	10.57319907
DRR100560	UC	0	0.075795196	0.078408824	0.096704216	0.802383628	1.5707901	0	0	0.271817255	1.332950001	0.196022059	0	41.84678916	7.550769713	0	0	2.577036669	0	1.842607355	1.792948433
DRR100561	UC	0	0	0	0	2.620087336	0.982532751	0	0	0	2.074235808	0	0	25.65502183	1.637554585	0	0	0	0	0.76419214	0
a206643	UC	0	0	0	0	2.701026666	0	0	0	0.065458554	0	0	0	0	0	0.161923792	0	0	0	0	0
a206644	UC	0	0	0	0	6.941823254	0	0	0	0	0	0	0	0.049232789	0	0.369245918	0	0	0	0	0
a206657	Health	0.110221603	0.237846618	19.54113006	0.043508528	0	1.896971806	0	1.331360947	0	0.641025641	0	0	18.28228333	7.32683606	0	1.511196194	0.716440422	0	0	0.066713076
a206658	Health	0.058910162	0.542815064	14.94214181	0.109404587	0	2.655165159	0	1.363349463	0	0.584893751	0	0	27.8140122	5.478645066	0	1.333894382	0.896276036	0	0	0.117820324
a206670	UC	0	0.072482405	7.79302766	0.680399355	0	6.614604036	0	5.980967523	1.049825808	0.028057705	0	0	8.267670509	0.039748416	0	2.370876102	5.461899974	0	0	0
a206675	UC	0.167832168	0.335664336	0	0	2.503496503	0.559440559	0.265734266	1.678321678	0	0.27972028	1.244755245	0	18	2.41958042	0	1.496503497	0	0	2.335664336	0
a206676	UC	0	0.468241042	0	0.142508143	3.074104235	0.274837134	0.386807818	0	0.305374593	0.671824104	0.610749186	0	15.68607492	1.353827362	0	1.262214984	0	0	0.824511401	0.590390879
a206677	UC	0	0	0	0	0.050667117	0	0.295558183	0	0.202668468	0	0	0	18.65394359	17.31126499	0.903563587	0.160445871	0	0	0.270224624	0.354669819
a206678	UC	0	0.362003084	0	0.690487363	0.435744453	0.268150432	1.689347724	0	0.362003084	0.100556412	0	0	14.72145874	32.54005497	0.811155058	0.623449755	0	0	1.280418315	0.348595562
a206683	UC	0	0.425463595	0	0.088303765	0.52982259	0.36927029	0	0	0.248856065	0.187311017	0.024082845	0	31.28629151	15.38091033	0	0.203366247	0.254207808	0	0	0.69037489
a206684	UC	0	0.057218653	0	0.046815262	1.266612916	1.438268876	0	0	0.12223985	0.566984837	0	0	24.92652605	18.84314286	0	0.234076309	0.665817056	0	0	0.364118703
a215003	Health	0	0.122399021	0	0	0.367197062	0.78879369	0.761593907	0	0	0.244798042	0	0	10.67591459	19.92384061	0	0	0.625594995	0	2.216782266	1.495988032
a215004	Health	0	0	0	0	2.684563758	2.768456376	0	0	0	0	0	0	6.208053691	26.4261745	0	0	0	0	1.510067114	1.258389262
a215007	Health	0	0	0.658232725	0.125224762	2.029283329	0.192653481	0.006421783	0	0.394939635	0	0	0.04816337	11.39866427	42.11405086	0	0.446313897	0.915104033	0	0	1.223349602
a215008	Health	0	0.033291165	0.226379919	0.113189959	2.084026899	0.552633331	0	0	0.725747387	0	0	0.073240562	8.289499967	43.82448898	0	0.186430521	0.359544577	0	0	0.506025701
a215009	Health	0.797858099	0.385542169	1.068273092	0.168674699	0.401606426	0.179384203	0	0.527443106	0	0.554216867	0.03480589	0	12.0669344	9.793842035	0	0.254350736	1.780455154	0.008032129	0	0.157965194
a215010	Health	1.221585542	0.399848876	2.440022669	0.201498646	0.255021724	0.229834393	0	0.459668787	0	0.469114036	0.028335747	0	16.19230527	8.563692463	0	0.333732133	2.610037151	0	0	0.29280272
a215048	Health	0.091547147	0.073237717	0	0.830027464	1.708880073	0.610314312	2.972230699	0.927677754	0	1.794324077	0.415013732	0.048825145	9.551418981	18.91974367	0	0.817821178	1.141287763	0	1.641745499	1.3304852
a215055	Health	0	0.488366414	2.183695538	0	5.134824014	11.88125719	0	0.188369903	6.233648446	0.439529773	0	0	1.841839048	28.98803502	0.673247985	4.179021174	0	0	0	3.955767956
a215056	Health	0	0.447826259	8.591923275	0	2.694883684	16.74394642	0	0.388380296	1.993421313	1.216660722	0	0	2.579954821	15.41235683	0.134744184	5.500733167	0	0	0	5.401656561
a215057	Health	0.44016316	0.182057014	1.01859747	0.207406725	0.527734888	3.113405388	0.956375452	0.649874404	0	0.55078008	0.101398843	0.069135575	11.31518909	18.04668956	0	0.695964787	2.030281382	0	0.7697094	0.188970571
a215058	Health	0.495798319	0.231092437	2.037815126	0.201680672	0.222689076	1.319327731	0.470588235	0.764705882	0	0.24789916	0.386554622	0	9.605042017	9.197478992	0	0.357142857	2.348739496	0	0.93697479	0.214285714
a215061	UC	0.665926748	0.061043285	0.887902331	0.288568257	0.593784684	0.288568257	0.904550499	0	0	0.172031077	0	0.027746948	14.95005549	1.298557159	0	1.071032186	1.331853496	0	0.532741398	0.804661487
a215062	UC	1.5973478	0	0.970464135	0.735382761	0.186859554	0.31946956	0.608800482	0	0	0.132610006	0.078360458	0.090415913	13.893912	0.807715491	0	0.867992767	1.072935503	0	0.337552743	0.729355033
a215074	Health	0	0.472415726	1.185042838	0.112098647	0	0.256225478	0	0.304267756	1.889662903	0.528465049	0.472415726	0.248218432	5.516854832	0	0.128112739	4.860277044	1.697493795	0	0	12.6351189
a215077	Health	0	0.575963844	1.634194064	0.088185852	0	0.082674236	0	0.609033538	0.239755284	0.383057293	0.609033538	0.068895197	8.655992504	0	0	2.973516686	1.694821837	0	0	10.19924491
a215080	UC	0	0.420787518	2.666011426	0.399287426	1.698507279	0.688002949	0.598931138	0.208858038	1.474292033	0	0.605074022	0	5.586952516	5.319737085	0.297929848	0.890718103	1.446649057	0.116714786	0.734074575	2.208366607
a219643	UC	0.572710831	0.093777212	0.073682095	1.299484225	0.843994909	0.787058745	0.070332909	0.100475584	0.207649541	0.123919887	0	0.036841048	19.58604059	5.817536339	0.063634537	3.352535334	1.641101212	0	1.711434122	1.574117489
