"Bacteroides uniformis","Clostridioides difficile","Clostridium paraputrificum","Clostridium perfringens","Odoribacter splanchnicus","Ruminococcus gnavus","Biosynthesis_of_secondary_metabolites","Methane_metabolism","Fructose_and_mannose_metabolism","Pathways_of_neurodegeneration_-_multiple_diseases","Glycolysis_/_Gluconeogenesis","Starch_and_sucrose_metabolism","Phenylalanine,_tyrosine_and_tryptophan_biosynthesis","Galactose_metabolism","Thiamine_metabolism","AMPK_signaling_pathway","Bacterial_invasion_of_epithelial_cells","Thyroid_hormone_signaling_pathway","Other_glycan_degradation","TNF_signaling_pathway"
"Bacteroides uniformis",1,-0.0531313756120933,-0.0997231453050612,-0.0917291859205718,0.16968109871234,-0.155531583960862,0.182250047513985,0.139116555409156,0.190633884552303,-0.241617738964787,0.216404010907475,0.282672292219704,0.183618634809115,0.320491020009911,0.250275214845676,0.273801198383588,-0.169253413206277,0.268302840995475,0.203778419123781,-0.0985381935269615
"Clostridioides difficile",-0.0531313756120933,1,-0.0014482600413344,0.00923207040570004,-0.0751115168210648,0.0361949787798288,0.00579887261589242,0.0439875843086502,0.012860983417265,0.161482091137522,-0.0057625645699289,-0.06003692767564,-0.0116488150881597,-0.0555280404694366,-0.0397873474699647,-0.025336814160945,0.0712665716822519,-0.067885723081062,-0.0492141626554016,0.0680958589123649
"Clostridium paraputrificum",-0.0997231453050612,-0.0014482600413344,1,0.365406908017471,-0.117327408420119,0.256638639363944,-0.27150843572768,-0.250927827320355,-0.0928343887534955,-0.0584948876161295,-0.213849961046386,-0.0656390683111729,-0.279839020883205,-0.091539591468118,-0.232775061498256,-0.227385109591779,0.0554885888762276,-0.178502044276739,-0.0318615416350467,-0.0218080255540755
"Clostridium perfringens",-0.0917291859205718,0.00923207040570004,0.365406908017471,1,-0.0790533046639089,0.145149882116698,-0.176543670242391,-0.173323554533071,-0.11243744477796,-0.0438470712742278,-0.169922606568304,-0.111801845108123,-0.160111925652331,-0.112470339262281,-0.137028589120146,-0.168469014793201,0.0420517680267702,-0.132457200680329,-0.0584564518080688,0.0566909367429345
"Odoribacter splanchnicus",0.16968109871234,-0.0751115168210648,-0.117327408420119,-0.0790533046639089,1,-0.157578388801536,0.145653155828647,0.193328397040646,0.0908719427819079,-0.101598744327722,0.151894803070171,0.0865113691987446,0.175462980810978,0.105653137665138,0.173574577136292,0.173103910305044,-0.0992732321655327,0.161344040318914,0.0976119408024943,-0.070149343302236
"Ruminococcus gnavus",-0.155531583960862,0.0361949787798288,0.256638639363944,0.145149882116698,-0.157578388801536,1,-0.370514277448954,-0.325691314405961,-0.157808632720592,-0.091150188027713,-0.283333314311554,-0.170202248009742,-0.386079827478825,-0.161034339478764,-0.339343372978201,-0.271979278584616,0.187984324099623,-0.214990653445653,-0.0637437417626907,-0.0534039993648714
"Biosynthesis_of_secondary_metabolites",0.182250047513985,0.00579887261589242,-0.27150843572768,-0.176543670242391,0.145653155828647,-0.370514277448954,1,0.92970255239694,0.829546149947441,0.151899178543894,0.956709746912584,0.805719646587772,0.974351577827836,0.807715751065868,0.936961666180556,0.755203786979539,-0.039242659732519,0.694445705801177,0.560358011455401,0.0648328780734884
"Methane_metabolism",0.139116555409156,0.0439875843086502,-0.250927827320355,-0.173323554533071,0.193328397040646,-0.325691314405961,0.92970255239694,1,0.833543402120155,0.0791220392676629,0.950238491805434,0.772234727615065,0.909908642546949,0.758723065366291,0.90432088589475,0.745061179945624,0.0448153161463765,0.68396464158788,0.45671414444886,0.0398057578309321
"Fructose_and_mannose_metabolism",0.190633884552303,0.012860983417265,-0.0928343887534955,-0.11243744477796,0.0908719427819079,-0.157808632720592,0.829546149947441,0.833543402120155,1,-0.068053845474571,0.89549703869717,0.885242894691665,0.780141479778962,0.915959490200858,0.861068229242384,0.665960846610021,0.0803189797228107,0.674231965759549,0.652998888478251,-0.0637395398338686
"Pathways_of_neurodegeneration_-_multiple_diseases",-0.241617738964787,0.161482091137522,-0.0584948876161295,-0.0438470712742278,-0.101598744327722,-0.091150188027713,0.151899178543894,0.0791220392676629,-0.068053845474571,1,0.0269266279522391,-0.222318795262516,0.0896157153024049,-0.233752936330519,-0.0836797028612247,-0.321213411284584,0.232401028563279,-0.465499117400074,-0.133711952167137,0.302734525369386
"Glycolysis_/_Gluconeogenesis",0.216404010907475,-0.0057625645699289,-0.213849961046386,-0.169922606568304,0.151894803070171,-0.283333314311554,0.956709746912584,0.950238491805434,0.89549703869717,0.0269266279522391,1,0.875381677278228,0.923762145703356,0.866069510955234,0.94027056226711,0.760511595580992,-0.0115822366021246,0.726016765174377,0.576164333297866,0.0725691677428117
"Starch_and_sucrose_metabolism",0.282672292219704,-0.06003692767564,-0.0656390683111729,-0.111801845108123,0.0865113691987446,-0.170202248009742,0.805719646587772,0.772234727615065,0.885242894691665,-0.222318795262516,0.875381677278228,1,0.758828347309188,0.91336125936398,0.848486728439027,0.772272457445621,-0.0534466580659304,0.795121532220868,0.559814461929436,-0.10836726651638
"Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.183618634809115,-0.0116488150881597,-0.279839020883205,-0.160111925652331,0.175462980810978,-0.386079827478825,0.974351577827836,0.909908642546949,0.780141479778962,0.0896157153024049,0.923762145703356,0.758828347309188,1,0.763051572355777,0.937506411773387,0.765053494989274,-0.0994928977089382,0.710144725675395,0.514573396781945,0.0567412005398694
"Galactose_metabolism",0.320491020009911,-0.0555280404694366,-0.091539591468118,-0.112470339262281,0.105653137665138,-0.161034339478764,0.807715751065868,0.758723065366291,0.915959490200858,-0.233752936330519,0.866069510955234,0.91336125936398,0.763051572355777,1,0.88006982527345,0.723219548861306,-0.0830731464784747,0.762909180319292,0.803920361828037,-0.0862973539196352
"Thiamine_metabolism",0.250275214845676,-0.0397873474699647,-0.232775061498256,-0.137028589120146,0.173574577136292,-0.339343372978201,0.936961666180556,0.90432088589475,0.861068229242384,-0.0836797028612247,0.94027056226711,0.848486728439027,0.937506411773387,0.88006982527345,1,0.768127092964648,-0.137482222152242,0.751419459760345,0.653831226350939,-0.0153393480706721
"AMPK_signaling_pathway",0.273801198383588,-0.025336814160945,-0.227385109591779,-0.168469014793201,0.173103910305044,-0.271979278584616,0.755203786979539,0.745061179945624,0.665960846610021,-0.321213411284584,0.760511595580992,0.772272457445621,0.765053494989274,0.723219548861306,0.768127092964648,1,-0.223757021287633,0.96857114618993,0.385332890131841,-0.115844354757957
"Bacterial_invasion_of_epithelial_cells",-0.169253413206277,0.0712665716822519,0.0554885888762276,0.0420517680267702,-0.0992732321655327,0.187984324099623,-0.039242659732519,0.0448153161463765,0.0803189797228107,0.232401028563279,-0.0115822366021246,-0.0534466580659304,-0.0994928977089382,-0.0830731464784747,-0.137482222152242,-0.223757021287633,1,-0.264495720948814,-0.223248878722683,0.0814288380375929
"Thyroid_hormone_signaling_pathway",0.268302840995475,-0.067885723081062,-0.178502044276739,-0.132457200680329,0.161344040318914,-0.214990653445653,0.694445705801177,0.68396464158788,0.674231965759549,-0.465499117400074,0.726016765174377,0.795121532220868,0.710144725675395,0.762909180319292,0.751419459760345,0.96857114618993,-0.264495720948814,1,0.449573565832827,-0.154914626257901
"Other_glycan_degradation",0.203778419123781,-0.0492141626554016,-0.0318615416350467,-0.0584564518080688,0.0976119408024943,-0.0637437417626907,0.560358011455401,0.45671414444886,0.652998888478251,-0.133711952167137,0.576164333297866,0.559814461929436,0.514573396781945,0.803920361828037,0.653831226350939,0.385332890131841,-0.223248878722683,0.449573565832827,1,-0.0683016110622209
"TNF_signaling_pathway",-0.0985381935269615,0.0680958589123649,-0.0218080255540755,0.0566909367429345,-0.070149343302236,-0.0534039993648714,0.0648328780734884,0.0398057578309321,-0.0637395398338686,0.302734525369386,0.0725691677428117,-0.10836726651638,0.0567412005398694,-0.0862973539196352,-0.0153393480706721,-0.115844354757957,0.0814288380375929,-0.154914626257901,-0.0683016110622209,1
