	Odoribacter splanchnicus	Bacteroides uniformis	Ruminococcus gnavus	Clostridioides difficile	Clostridium perfringens	Clostridium paraputrificum
Other_glycan_degradation	0.097611941	0.203778419	-0.063743742	-0.049214163	-0.058456452	-0.031861542
Fructose_and_mannose_metabolism	0.090871943	0.190633885	-0.157808633	0.012860983	-0.112437445	-0.092834389
Galactose_metabolism	0.105653138	0.32049102	-0.161034339	-0.05552804	-0.112470339	-0.091539591
Starch_and_sucrose_metabolism	0.086511369	0.282672292	-0.170202248	-0.060036928	-0.111801845	-0.065639068
Thyroid_hormone_signaling_pathway	0.16134404	0.268302841	-0.214990653	-0.067885723	-0.132457201	-0.178502044
AMPK_signaling_pathway	0.17310391	0.273801198	-0.271979279	-0.025336814	-0.168469015	-0.22738511
Glycolysis_/_Gluconeogenesis	0.151894803	0.216404011	-0.283333314	-0.005762565	-0.169922607	-0.213849961
Methane_metabolism	0.193328397	0.139116555	-0.325691314	0.043987584	-0.173323555	-0.250927827
Thiamine_metabolism	0.173574577	0.250275215	-0.339343373	-0.039787347	-0.137028589	-0.232775061
Biosynthesis_of_secondary_metabolites	0.145653156	0.182250048	-0.370514277	0.005798873	-0.17654367	-0.271508436
"Phenylalanine,_tyrosine_and_tryptophan_biosynthesis"	0.175462981	0.183618635	-0.386079827	-0.011648815	-0.160111926	-0.279839021
Pathways_of_neurodegeneration_-_multiple_diseases	-0.101598744	-0.241617739	-0.091150188	0.161482091	-0.043847071	-0.058494888
Bacterial_invasion_of_epithelial_cells	-0.099273232	-0.169253413	0.187984324	0.071266572	0.042051768	0.055488589
TNF_signaling_pathway	-0.070149343	-0.098538194	-0.053403999	0.068095859	0.056690937	-0.021808026
