CS1	CS2	group
DRR100552	1.98356765915801	-2.14290737622383	1
DRR100553	2.05292493619204	-1.68058959882497	1
DRR100554	1.76681718498647	-2.01764898868385	1
DRR100555	0.911294718033552	-2.30500038527655	1
DRR100556	1.0738742044727	-0.925279549273772	1
DRR100557	1.57933922183194	-2.20175005105687	1
DRR100558	-1.59471147919573	-0.217382946012869	2
DRR100559	-0.309130842571497	-0.805396102716165	1
DRR100560	-0.639274721670792	-1.19418750017285	1
DRR100561	-1.4127498836401	-0.720524154385182	2
a206643	2.26517005818738	-2.69896666535821	1
a206644	2.24459464074406	-2.3804231447448	1
a206657	-1.1038872204418	-0.857854937367529	2
a206658	-0.911647489289778	-0.940599639043205	2
a206670	-1.21081705784358	-0.849852322680553	2
a206675	-0.364344397935134	-0.927980834806647	1
a206676	-1.83938492779643	-0.260905964531596	2
a206677	2.08346180960042	-0.749996975095227	1
a206678	1.4404615788119	-1.22923642856564	1
a206683	0.560912247500361	-1.58046572660098	1
a206684	0.278163337408511	-1.81158153288408	1
a215003	0.676285009940438	-1.09713340111835	1
a215004	1.41291977070069	-0.879703453569028	1
a215007	1.17976385370847	-2.09967607993733	1
a215008	1.62092253957848	-2.32709107865828	1
a215009	0.266715649252851	-1.19141129499055	1
a215010	-0.0668263336413314	-1.01564911096217	1
a215048	-0.175754155626131	-1.2029140821395	1
a215055	0.175190849460443	-0.987122797097795	1
a215056	-1.29561157976763	-0.409891635978565	1
a215057	-0.115110464786273	-0.895612882270136	2
a215058	-0.68047166414518	-0.344932592577162	2
a215061	-1.10747984036442	0.0468388056902082	2
a215062	-1.31506840718227	0.0606301111966689	2
a215074	0.073674922692596	-1.17404240021144	1
a215077	-0.142406632472721	-1.38178219912554	1
a215080	0.647414348774536	-0.448232738630449	1
a219643	-1.22983615458897	-0.125922764065959	2
a219644	-3.70387937014443	0.703418867890699	2
a222170	1.21074418146148	-2.46739034136837	1
a222171	1.24584061353123	-2.38124906356782	1
a224844	0.0529270586569729	-1.53646386096811	1
a224845	-0.333502796302319	-1.60282377484754	1
CSM5FZ4G	0.488069180531616	-2.0999813428547	1
CSM5FZ4O	1.3842408484744	-2.63270202929705	1
CSM5MCUI	0.234186665872876	-1.65971218128786	1
ERR4837016	-2.3135072507873	-0.2193540151661	2
ERR4837017	0.0652900520010502	-0.623678182470635	2
ERR4837018	2.28023182611192	-1.21341711147449	1
ERR4837019	-0.643928813579425	-1.22350132562294	2
ERR4837020	0.103414114755203	-1.53403730253484	1
ERR4837021	0.0649124937964007	0.627326699905421	2
ERR4837022	0.321856835454802	-0.301503487615905	1
ERR4837023	0.992112542777756	-2.10449221773539	1
ERR4837024	0.479275809216589	-0.643253407640619	1
ERR4837025	-2.04003178409998	0.353868278616877	2
ERR4837026	0.448015431804752	-0.35245515217072	2
ERR4837037	-0.252291088800471	-0.954902927952736	2
ERR4837038	0.0551666593294635	0.313650138941499	2
ERR4837039	-0.619424123788691	0.142151959782502	2
ERR4837040	0.988742154037902	-1.3643801050267	1
ERR4837041	0.288689520310028	-1.10402230188636	1
ERR4837042	0.454395515228005	-0.845565300789047	1
ERR4837043	-0.327808016996103	1.05276228085399	2
ERR4837044	-0.526581830943517	-0.316973302972385	1
ERR4837045	1.15559923785578	-1.59829833101542	1
MSM5LLFK	1.46786801744386	-2.25708367766905	1
MSM5LLFS	0.00313585251049148	-1.91667971790124	1
MSM5LLFU	1.63489856617868	-2.72452142824327	1
MSM5LLIQ	1.81679565495819	-1.53641213838384	1
SRR064846	3.08321099972059	0.349550564070408	1
SRR064848	1.94402741301334	-0.807949480147381	1
SRR064849	2.49260441298941	-0.949660349022149	1
SRR064851	2.00812548754371	-0.542589057636953	1
SRR064852	2.89600045094925	-1.46542385063212	1
SRR064854	2.5811962732591	-1.43564215318879	1
SRR064855	3.20221591315246	-0.672328922631276	1
SRR064857	2.55715139373115	-1.37671604084604	1
SRR064858	2.826111120825	-1.3744006978499	1
SRR064860	2.36418658974733	-1.76886129156868	1
SRR064861	2.16091254357177	0.678726138695689	2
SRR064863	1.93263105213913	-0.277391983269416	1
SRR064864	3.22058329533488	1.37830832998462	1
SRR064866	2.08659446002803	-0.211134076467605	1
SRR064867	2.42557082633807	-0.426814872671286	1
SRR064869	2.21487080597664	-1.46657552647202	1
SRR064870	1.70522065926911	1.17854576875429	3
SRR064873	2.03742946391569	0.166926421584303	1
SRR064875	2.26765179267502	-0.358669352628605	1
SRR064876	2.33312940088471	0.200112416756493	1
SRR064878	2.32642738993944	-0.748136327659711	1
SRR064879	1.18291842707249	-0.933757489726678	1
SRR064880	2.18663358687041	-1.26347290911718	1
SRR064881	3.78842511198012	2.77159402876769	3
SRR064882	2.46117084081693	0.715955141102195	3
SRR064883	1.87702453987474	-0.568852374899796	1
SRR064884	2.39914927768058	-1.15920063951997	1
SRR064885	3.01324202927431	-0.308567225691978	1
SRR064886	2.93104228515217	-0.519645284995435	1
SRR064887	3.02656551481421	-0.734063117402873	1
SRR064888	2.89205500449966	-0.75298250068957	1
SRR064889	3.14269493532119	-2.49764707871607	1
SRR064890	2.61465650443999	-3.07832611996013	1
SRR064891	3.18595612676422	0.966034825495549	3
SRR064892	2.95967585579565	0.921993746622384	3
SRR064893	2.94148249971088	1.61475808744411	3
SRR064894	2.92673626906032	1.51594689935864	3
SRR064895	3.32258637670401	1.53011449579599	3
SRR064896	3.05960159472585	0.596485403595121	3
SRR064897	2.53796731796448	2.40297665846138	3
SRR064898	2.86611136081217	2.49686927310226	3
SRR064899	2.8410558379235	2.77873638060307	3
SRR064900	3.05178487609528	2.81326441178462	3
SRR064901	2.42993992096666	2.12167112544753	3
SRR064902	2.90270236386624	2.49832795471024	3
SRR064903	3.57816202890438	1.67081376803611	3
SRR064904	1.85346437270798	-0.729659922069894	2
SRR064905	2.42846894929466	-0.597737763157099	2
SRR064906	1.95048817267999	-0.244930998364648	2
SRR064907	2.53403037974125	0.307165106065128	1
SRR064908	2.32277547459999	0.459405089217516	1
SRR064909	2.38243339553411	-0.351642335826847	1
SRR064910	2.00252433505595	-0.17332680164879	2
SRR064911	2.4017918986854	-2.23072299577255	1
SRR064912	3.03205887199683	-1.47245072522737	1
SRR064913	2.36296265871374	-2.33886238994574	1
SRR064914	2.86547833436556	-1.60215318327109	1
SRR064915	2.32062831506285	-2.30052579907596	1
SRR064916	2.72651756551538	-1.7800458974377	1
SRR1008703	3.16597342888347	3.16020789231395	3
SRR1008705	3.20076304021195	3.17541625854542	3
SRR1008737	3.00531102479348	-3.92773477951233	1
SRR1008760	2.81303706142929	-3.59473978793927	1
SRR1008761	2.82306217414218	-3.61210205719788	1
SRR1008762	2.73703981354438	-3.46312184822334	1
SRR1008767	2.46594245896139	1.62237259688602	3
SRR1008768	2.64949649484082	2.37090092638485	2
SRR1008911	3.16597342888347	3.16020789231395	3
SRR1008913	3.20076304021195	3.17541625854542	3
SRR1008945	3.00531102479348	-3.92773477951233	1
SRR1008954	2.81303706142929	-3.59473978793927	1
SRR1008955	2.82306217414218	-3.61210205719788	1
SRR1008956	2.73703981354438	-3.46312184822334	1
SRR1008961	2.46594245896139	1.62237259688602	3
SRR1008962	2.64949649484082	2.37090092638485	2
SRR1009019	3.16597342888347	3.16020789231395	3
SRR1009021	3.20076304021195	3.17541625854542	3
SRR1009053	3.00531102479348	-3.92773477951233	1
SRR1009062	2.81303706142929	-3.59473978793927	1
SRR1009063	2.82306217414218	-3.61210205719788	1
SRR1009064	2.73703981354438	-3.46312184822334	1
SRR1009069	2.46594245896139	1.62237259688602	3
SRR1009070	2.64949649484082	2.37090092638485	2
SRR10735846	1.09069356814708	0.96659405450518	2
SRR10735847	1.09069356814708	0.96659405450518	2
SRR10735848	1.09069356814708	0.96659405450518	2
SRR10735849	1.09069356814708	0.96659405450518	2
SRR10735850	1.09069356814708	0.96659405450518	2
SRR10735851	1.09069356814708	0.96659405450518	2
SRR10735852	1.28372346527853	-1.1693399986548	1
SRR10735854	0.205616209845245	-1.67704878456896	1
SRR10735856	1.43829582916211	0.119103658015804	1
SRR10735857	-0.26495476267509	-0.926344209218451	2
SRR10735858	0.462578558111948	2.14506929156124	2
SRR10735859	-0.46906092192226	-1.46669353347982	2
SRR10735860	0.59458322174729	-1.14973569627563	1
SRR10735861	3.17985710842944	2.01028007811968	1
SRR10735862	2.94544230855571	-2.02029868012237	1
