ID	CS1	CS2	group
DRR100552	1.983567659	-2.142907376	ET-B
DRR100553	2.052924936	-1.680589599	ET-B
DRR100554	1.766817185	-2.017648989	ET-B
DRR100555	0.911294718	-2.305000385	ET-B
DRR100556	1.073874204	-0.925279549	ET-B
DRR100557	1.579339222	-2.201750051	ET-B
DRR100558	-1.594711479	-0.217382946	ET-L
DRR100559	-0.309130843	-0.805396103	ET-B
DRR100560	-0.639274722	-1.1941875	ET-B
DRR100561	-1.412749884	-0.720524154	ET-L
a206643	2.265170058	-2.698966665	ET-B
a206644	2.244594641	-2.380423145	ET-B
a206657	-1.10388722	-0.857854937	ET-L
a206658	-0.911647489	-0.940599639	ET-L
a206670	-1.210817058	-0.849852323	ET-L
a206675	-0.364344398	-0.927980835	ET-B
a206676	-1.839384928	-0.260905965	ET-L
a206677	2.08346181	-0.749996975	ET-B
a206678	1.440461579	-1.229236429	ET-B
a206683	0.560912248	-1.580465727	ET-B
a206684	0.278163337	-1.811581533	ET-B
a215003	0.67628501	-1.097133401	ET-B
a215004	1.412919771	-0.879703454	ET-B
a215007	1.179763854	-2.09967608	ET-B
a215008	1.62092254	-2.327091079	ET-B
a215009	0.266715649	-1.191411295	ET-B
a215010	-0.066826334	-1.015649111	ET-B
a215048	-0.175754156	-1.202914082	ET-B
a215055	0.175190849	-0.987122797	ET-B
a215056	-1.29561158	-0.409891636	ET-B
a215057	-0.115110465	-0.895612882	ET-L
a215058	-0.680471664	-0.344932593	ET-L
a215061	-1.10747984	0.046838806	ET-L
a215062	-1.315068407	0.060630111	ET-L
a215074	0.073674923	-1.1740424	ET-B
a215077	-0.142406632	-1.381782199	ET-B
a215080	0.647414349	-0.448232739	ET-B
a219643	-1.229836155	-0.125922764	ET-L
a219644	-3.70387937	0.703418868	ET-L
a222170	1.210744181	-2.467390341	ET-B
a222171	1.245840614	-2.381249064	ET-B
a224844	0.052927059	-1.536463861	ET-B
a224845	-0.333502796	-1.602823775	ET-B
CSM5FZ4G	0.488069181	-2.099981343	ET-B
CSM5FZ4O	1.384240848	-2.632702029	ET-B
CSM5MCUI	0.234186666	-1.659712181	ET-B
ERR4837016	-2.313507251	-0.219354015	ET-L
ERR4837017	0.065290052	-0.623678182	ET-L
ERR4837018	2.280231826	-1.213417111	ET-B
ERR4837019	-0.643928814	-1.223501326	ET-L
ERR4837020	0.103414115	-1.534037303	ET-B
ERR4837021	0.064912494	0.6273267	ET-L
ERR4837022	0.321856835	-0.301503488	ET-B
ERR4837023	0.992112543	-2.104492218	ET-B
ERR4837024	0.479275809	-0.643253408	ET-B
ERR4837025	-2.040031784	0.353868279	ET-L
ERR4837026	0.448015432	-0.352455152	ET-L
ERR4837037	-0.252291089	-0.954902928	ET-L
ERR4837038	0.055166659	0.313650139	ET-L
ERR4837039	-0.619424124	0.14215196	ET-L
ERR4837040	0.988742154	-1.364380105	ET-B
ERR4837041	0.28868952	-1.104022302	ET-B
ERR4837042	0.454395515	-0.845565301	ET-B
ERR4837043	-0.327808017	1.052762281	ET-L
ERR4837044	-0.526581831	-0.316973303	ET-B
ERR4837045	1.155599238	-1.598298331	ET-B
MSM5LLFK	1.467868017	-2.257083678	ET-B
MSM5LLFS	0.003135853	-1.916679718	ET-B
MSM5LLFU	1.634898566	-2.724521428	ET-B
MSM5LLIQ	1.816795655	-1.536412138	ET-B
SRR064846	3.083211	0.349550564	ET-B
SRR064848	1.944027413	-0.80794948	ET-B
SRR064849	2.492604413	-0.949660349	ET-B
SRR064851	2.008125488	-0.542589058	ET-B
SRR064852	2.896000451	-1.465423851	ET-B
SRR064854	2.581196273	-1.435642153	ET-B
SRR064855	3.202215913	-0.672328923	ET-B
SRR064857	2.557151394	-1.376716041	ET-B
SRR064858	2.826111121	-1.374400698	ET-B
SRR064860	2.36418659	-1.768861292	ET-B
SRR064861	2.160912544	0.678726139	ET-L
SRR064863	1.932631052	-0.277391983	ET-B
SRR064864	3.220583295	1.37830833	ET-B
SRR064866	2.08659446	-0.211134076	ET-B
SRR064867	2.425570826	-0.426814873	ET-B
SRR064869	2.214870806	-1.466575526	ET-B
SRR064870	1.705220659	1.178545769	ET-C
SRR064873	2.037429464	0.166926422	ET-B
SRR064875	2.267651793	-0.358669353	ET-B
SRR064876	2.333129401	0.200112417	ET-B
SRR064878	2.32642739	-0.748136328	ET-B
SRR064879	1.182918427	-0.93375749	ET-B
SRR064880	2.186633587	-1.263472909	ET-B
SRR064881	3.788425112	2.771594029	ET-C
SRR064882	2.461170841	0.715955141	ET-C
SRR064883	1.87702454	-0.568852375	ET-B
SRR064884	2.399149278	-1.15920064	ET-B
SRR064885	3.013242029	-0.308567226	ET-B
SRR064886	2.931042285	-0.519645285	ET-B
SRR064887	3.026565515	-0.734063117	ET-B
SRR064888	2.892055004	-0.752982501	ET-B
SRR064889	3.142694935	-2.497647079	ET-B
SRR064890	2.614656504	-3.07832612	ET-B
SRR064891	3.185956127	0.966034825	ET-C
SRR064892	2.959675856	0.921993747	ET-C
SRR064893	2.9414825	1.614758087	ET-C
SRR064894	2.926736269	1.515946899	ET-C
SRR064895	3.322586377	1.530114496	ET-C
SRR064896	3.059601595	0.596485404	ET-C
SRR064897	2.537967318	2.402976658	ET-C
SRR064898	2.866111361	2.496869273	ET-C
SRR064899	2.841055838	2.778736381	ET-C
SRR064900	3.051784876	2.813264412	ET-C
SRR064901	2.429939921	2.121671125	ET-C
SRR064902	2.902702364	2.498327955	ET-C
SRR064903	3.578162029	1.670813768	ET-C
SRR064904	1.853464373	-0.729659922	ET-L
SRR064905	2.428468949	-0.597737763	ET-L
SRR064906	1.950488173	-0.244930998	ET-L
SRR064907	2.53403038	0.307165106	ET-B
SRR064908	2.322775475	0.459405089	ET-B
SRR064909	2.382433396	-0.351642336	ET-B
SRR064910	2.002524335	-0.173326802	ET-L
SRR064911	2.401791899	-2.230722996	ET-B
SRR064912	3.032058872	-1.472450725	ET-B
SRR064913	2.362962659	-2.33886239	ET-B
SRR064914	2.865478334	-1.602153183	ET-B
SRR064915	2.320628315	-2.300525799	ET-B
SRR064916	2.726517566	-1.780045897	ET-B
SRR1008703	3.165973429	3.160207892	ET-C
SRR1008705	3.20076304	3.175416259	ET-C
SRR1008737	3.005311025	-3.92773478	ET-B
SRR1008760	2.813037061	-3.594739788	ET-B
SRR1008761	2.823062174	-3.612102057	ET-B
SRR1008762	2.737039814	-3.463121848	ET-B
SRR1008767	2.465942459	1.622372597	ET-C
SRR1008768	2.649496495	2.370900926	ET-L
SRR1008911	3.165973429	3.160207892	ET-C
SRR1008913	3.20076304	3.175416259	ET-C
SRR1008945	3.005311025	-3.92773478	ET-B
SRR1008954	2.813037061	-3.594739788	ET-B
SRR1008955	2.823062174	-3.612102057	ET-B
SRR1008956	2.737039814	-3.463121848	ET-B
SRR1008961	2.465942459	1.622372597	ET-C
SRR1008962	2.649496495	2.370900926	ET-L
SRR1009019	3.165973429	3.160207892	ET-C
SRR1009021	3.20076304	3.175416259	ET-C
SRR1009053	3.005311025	-3.92773478	ET-B
SRR1009062	2.813037061	-3.594739788	ET-B
SRR1009063	2.823062174	-3.612102057	ET-B
SRR1009064	2.737039814	-3.463121848	ET-B
SRR1009069	2.465942459	1.622372597	ET-C
SRR1009070	2.649496495	2.370900926	ET-L
SRR10735846	1.090693568	0.966594055	ET-L
SRR10735847	1.090693568	0.966594055	ET-L
SRR10735848	1.090693568	0.966594055	ET-L
