enterotype	bacteria	median	lower	upper
ET-L	Lachnospiraceae	32.59789009	32.00932812	33.18645206
ET-B	Lachnospiraceae	17.45163725	16.87776103	18.02551347
ET-C	Lachnospiraceae	18.25748445	16.81660011	19.69836878
ET-L	Bacteroidaceae	12.2906013	11.92348731	12.6577153
ET-B	Bacteroidaceae	39.27870602	38.29452107	40.26289097
ET-C	Bacteroidaceae	3.043788944	2.516031396	3.571546492
ET-L	Clostridiaceae	2.158690817	2.080593493	2.236788142
ET-B	Clostridiaceae	2.86937048	2.556695925	3.182045035
ET-C	Clostridiaceae	34.47929699	32.5597358	36.39885817
ET-L	Oscillospiraceae	17.82531116	17.46026791	18.19035442
ET-B	Oscillospiraceae	7.723315143	7.225792642	8.220837644
ET-C	Oscillospiraceae	0.177420203	0.127388372	0.227452034
ET-L	Enterobacteriaceae	1.626800071	1.418064969	1.835535173
ET-B	Enterobacteriaceae	6.95386196	6.467273862	7.440450059
ET-C	Enterobacteriaceae	17.30364415	15.67055871	18.93672958
ET-L	Pseudomonadaceae	0.971493656	0.652502693	1.29048462
ET-B	Pseudomonadaceae	2.536477895	1.971049812	3.101905978
ET-C	Pseudomonadaceae	2.296950273	1.864510469	2.729390077
