enterotype	bacteria	median	lower	upper
ET-L	Clostridium	1.504161408	1.430208348	1.578114467
ET-B	Clostridium	2.220451884	1.91430387	2.526599899
ET-C	Clostridium	34.42551229	32.5028492	36.34817538
ET-L	Bacteroides	6.36225479	6.136346221	6.588163359
ET-B	Bacteroides	21.57155894	20.61299558	22.53012229
ET-C	Bacteroides	1.624609845	1.238584697	2.010634994
ET-L	Phocaeicola	5.928346511	5.713589363	6.143103659
ET-B	Phocaeicola	17.70714709	16.90772228	18.50657189
ET-C	Phocaeicola	1.419179098	1.02367249	1.814685707
ET-L	Escherichia	0.808154239	0.687866566	0.928441913
ET-B	Escherichia	4.365263589	3.997618949	4.732908229
ET-C	Escherichia	13.78306326	12.228725	15.33740153
ET-L	Faecalibacterium	6.93106269	6.673452243	7.188673137
ET-B	Faecalibacterium	5.627995791	5.188519873	6.06747171
ET-C	Faecalibacterium	0.023830957	0.01535662	0.032305294
ET-L	Blautia	9.103131998	8.817912607	9.388351389
ET-B	Blautia	2.549487298	2.358371388	2.740603209
ET-C	Blautia	1.621088784	1.293040881	1.949136686
