name	group	Phocaeicola vulgatus	Pseudomonas fluorescens	Bacteroides xylanisolvens	Phocaeicola dorei	Faecalibacterium prausnitzii	Bacteroides thetaiotaomicron	Bacteroides fragilis	Escherichia marmotae	Bacteroides stercoris	Bacteroides kribbi	Bacteroides uniformis	Pseudomonas veronii	Bacteroides faecis	Phocaeicola plebeius	Ruminococcus gnavus	Fusobacterium mortiferum	Eubacterium rectale	Citrobacter koseri	Fusobacterium nucleatum	Haemophilus parainfluenzae	Prevotella copri	Pseudescherichia vulneris	Clostridium saccharobutylicum	Enterocloster clostridioformis	Clostridium butyricum	Streptococcus thermophilus	Paeniclostridium ghonii	Phocaeicola massiliensis	Phocaeicola coprocola	Acidaminococcus intestini	Streptococcus parasanguinis	Bacteroides caccae	Escherichia fergusonii	Sutterella faecalis	Ruminococcus torques	Turicibacter sanguinis	Citrobacter cronae	Klebsiella quasipneumoniae	Blautia wexlerae	Roseburia inulinivorans	Romboutsia timonensis	Prevotella stercorea	Mediterraneibacter faecis	Streptococcus sanguinis	Sutterella massiliensis	Bacteroides koreensis	Fusobacterium varium	Anaerostipes hadrus	Streptococcus oralis	Veillonella dispar	Akkermansia muciniphila	Loriellopsis cavernicola	Ruminococcus albus	Kineothrix alysoides	Ralstonia pickettii	Faecalimonas umbilicata	Streptococcus vestibularis	Enterobacter cloacae	Phascolarctobacterium faecium	Roseburia intestinalis	Parabacteroides merdae	Fusicatenibacter saccharivorans	Intestinibacter bartlettii	Pseudomonas tolaasii	Blautia caecimuris	Prevotella oris	Clostridium saudiense	Megamonas funiformis	Clostridium polysaccharolyticum	Acinetobacter johnsonii	Clostridium aurantibutyricum	Clostridium paraputrificum	Lachnospira eligens	Bacteroides ovatus	Dialister invisus	Parasutterella excrementihominis	Sutterella timonensis	Alistipes putredinis	Mesosutterella multiformis	Acinetobacter gerneri	Veillonella tobetsuensis	Alistipes finegoldii	Tyzzerella nexilis	Haemophilus seminalis	Lactobacillus rogosae	Eubacterium siraeum	Parabacteroides distasonis	Bariatricus massiliensis	Prevotella corporis	Sutterella wadsworthensis	Eisenbergiella massiliensis	Ruminococcus bromii	Megasphaera elsdenii	Clostridium perfringens	Ruminococcus lactaris	Bacteroides finegoldii	Lachnoclostridium pacaense	Acidovorax temperans	Blautia luti	Gemmiger formicilis	Blautia faecis	Roseburia faecis	Intestinimonas butyriciproducens	Clostridium saccharogumia	Anaeromassilibacillus senegalensis	Streptococcus peroris	Blautia argi	Brevundimonas vesicularis	Eubacterium tenue	Prevotella buccalis	Lachnospira pectinoschiza	Anaerotignum lactatifermentans	Blautia obeum	Sutterella stercoricanis	Bacteroides eggerthii	Mobilitalea sibirica	Oscillibacter ruminantium	Lacrimispora amygdalina	Collinsella aerofaciens	Erysipelatoclostridium ramosum	Bifidobacterium longum	Dialister propionicifaciens	Shigella boydii	Ruminococcus champanellensis	Bacteroides timonensis	Dorea longicatena	Paenibacillus humicus	Clostridium methoxybenzovorans	Bifidobacterium pseudocatenulatum	Acetobacter sicerae	Raoultella planticola	Chloroflexus islandicus	Bifidobacterium callitrichidarum	Hungatella effluvii	Bifidobacterium adolescentis	Barnesiella intestinihominis	Clostridium tertium	Veillonella atypica	Alistipes onderdonkii	Ruthenibacterium lactatiformans	Flintibacter butyricus	Blautia faecicola	Roseburia hominis	Anaerobutyricum hallii	Sutterella parvirubra	Clostridium symbiosum	Corynebacterium xerosis	Megasphaera massiliensis	Bifidobacterium faecale	Hungatella xylanolytica	Alistipes timonensis	Dorea formicigenerans	Atopobacter phocae	Massiliprevotella massiliensis	Monoglobus pectinilyticus	Granulicatella adiacens	Ruminococcoides bili	Faecalicatena orotica	Brucella pseudogrignonensis	Hungatella hathewayi	Methanobrevibacter smithii	Asticcacaulis excentricus	Hydrogenophilus thermoluteolus	Morganella morganii	Clostridioides difficile	Merdimonas faecis	Thalassospira lucentensis	Chelonobacter oris	Gemella taiwanensis	Aeromonas lacus	Bacteroides mediterraneensis	Moraxella osloensis	Veillonella infantium	Stenotrophomonas maltophilia	Coprococcus comes	Streptococcus anginosus	Blautia glucerasea	Aquabacterium olei	Clostridium oceanicum	Kiloniella antarctica	Brucella lupini	Bacteroides intestinalis	Schlegelella aquatica	Streptococcus periodonticum	Anaerotignum faecicola	Peptoniphilus grossensis	Ephemeroptericola cinctiostellae	Bacteroides salyersiae	Desulfovibrio simplex	Raoultella electrica	Sideroxydans lithotrophicus	Butyricicoccus pullicaecorum
DRR100552	1	52.91718685	0	2.567623804	0	5.663753641	0	0	0.066583437	0	0	0.728256346	0	0	0	1.872659176	0	0	0	0	2.363712027	0	0	0	0.170620058	0	0	0	0	0	0	0	0	0	0	0.503537245	0	22.0474407	0	0.88639201	0	0	0	0	0	0	0	0.478568456	0.453599667	0	0.162297129	0	0.024968789	0	0.449438202	0	0	0	0	0	0	0	0.678318768	0.079067832	0.058260508	0	0	0	0	0	0	0	0.262172285	0	0	0.095713691	0	0	0	0	0	0.074906367	0	0	0.865584686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203911777	0	0	0	0	0	0	0	0	0	0	0.923845194	0.3786933	0	0	0	0	2.813150229	0	0.058260508	0	0	0	0	0	0.208073242	0	0	0	0	0	0.24136496	0	0.12068248	0	0	0	0	0	0	0	0	0	0	0	0.104036621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016645859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195588847	0	0	0	0	0	0	0	0.033291719
DRR100553	1	36.91785252	0	1.269404916	0	3.666720569	0	0	0.274902975	0	0	0.489165589	0	0	0	6.169146184	0	0	0	0	2.401358344	0	0	0	0.145536869	0	0	0	0	0	0	0	0	0	0	2.389230272	0	38.34087969	0	0.355756792	0.040426908	0	0	0	0	0	0	0.238518758	0.380012937	0	0.230433376	0	0	0	0.173835705	0	0	0	0	0	0.040426908	0	0.533635188	0	0	0	0	0	0	0	0	0	0.056597671	0	0	0	0	0	0	0	0	0.024256145	0	0	0.950032342	0	0	0	0	0	0	0	0	0	0	0.028298836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367884864	0.303201811	0	0	0	0	1.520051746	0	0.331500647	0	0	0	0	0	0.663001294	0	0	0	0	0	0.157664942	0	0.10106727	0	0	0	0	0	0.040426908	0	0.064683053	0	0	0	0.072768435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024256145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210219922	0	0	0	0	0	0	0	0.060640362
DRR100554	1	48.66563086	0	1.722798519	0	8.284970068	0	0	0.009139515	0	0	0.642050907	0	0	0	1.754786821	0	0	0	0	3.80432299	0	0	0	0.12109857	0	0.025133665	0	0	0	0	0	0	0	0	0.790568021	0	19.85559567	0	0.749440205	0.109674176	0	0	0	0	0	0	0.56893479	0.411278161	0	0.235342503	0	0	0	0.738015811	0	0	0	0	0	0	0	2.079239592	0.098249783	0	0	0	0	0	0	0	0	0.251336654	0	0	0.185075173	0	0	0	0	0	0.045697573	0	0	0.781428506	0	0	0	0	0	0	0	0	0	0	0.022848787	0	0	0	0	0	0.153086871	0.025133665	0	0	0	0	0	0	0	0	0	0.936800256	0.509527944	0	0	0	0	3.859160079	0	0.164511264	0	0	0	0	0	0.377004981	0	0	0	0	0	0.047982452	0	0.306173742	0	0	0	0	0	0.022848787	0	0	0.093680026	0	0	0.424987433	0	0	0	0.015994151	0	0	0	0	0	0.020563908	0	0	0	0	0	0	0	0	0	0	0	0	0.013709272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139377599	0	0	0	0	0	0	0	0.027418544
DRR100555	1	0	0	0.227165168	34.9361098	20.64363464	0	0	0.350212967	0	0	10.81874113	0	9.304306673	0	0	0	0	0	0	0	0	0	0	1.751064837	0	0.094652153	0	0	0	0	0	0	0	0	0	0	0	0	0.160908661	0	0	0	0	0	0	1.609086607	0	0	0	0.018930431	0	0	0	0	0	0	0	0	0.795078088	0	0	0	0	0.369143398	0	0	0	0	0	0	0	0	0	0	0	0	0	1.826786559	0	0	0	0	0	0	0	0	0	0	0	0	0	5.215333649	0	0	0	0	0	0	0.624704212	0	0.28395646	0	0	0	0	0	0.302886891	0	0	0	0	0	0.842404165	0	0	0	0	0.615238997	0	0	0	0	0	0	0	0.331282537	0	0	0	0	0	0	0	0	0	0	0	0	1.041173687	0.634169427	0.937056318	0.227165168	0	0	0	0	0	0	0	0	0	0	0	0	0.037860861	0	0	0	0	0	0	0	0	0	0	0.340747752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.470421202	0	0	0	0
DRR100556	1	10.79365079	0	0	0	5.714285714	0	0	0	0	0	0	0	2.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.492063492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.888888889	0	10.63492063	0	0	0	0	0	0	0	0	0	20.47619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476190476	0	0	0	0	0	0	0	0	6.031746032	0	0	0	0	0	0	0	4.126984127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.936507937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.301587302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666666667	0	0	0	0	0	0	0	0	0	0	4.761904762	0	0	0	0	0	0	0	0	0	0	0
DRR100557	1	51.03806228	0	0	0	4.46366782	0	0	0	0.657439446	0	0.207612457	0	0	0	1.038062284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23183391	0	0	0	0	0	0	0.795847751	0.415224913	0	0	0	0	0	0	0	1.418685121	0	0	0	0	0	0.865051903	0	1.833910035	0	0	0.968858131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.948096886	0	0	0	0	0	2.664359862	0	0	0	0	0	0	0	0	0	0	0	0	12.04152249	0	0	0	0.415224913	0	0	0	0.62283737	0	0	0	0	0	0	0	0	0.968858131	0	0	0	0	0	0.311418685	0	1.003460208	0	0	0	0	0	0.726643599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415224913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.553633218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR100559	1	27.88536019	0	0	0	7.776917119	0	0	0.596436871	0.542215337	0	0.0697134	0	0.108443067	1.820294345	0	0	6.553059644	0	0.232378002	0.766847405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100697134	0	0	0	0	0.193648335	0	0	7.017815647	0	1.673121611	0.387296669	0	10.57319907	0	0.302091402	0	0	0	1.216111541	0	0	0	0	0	3.237800155	0.092951201	0	0	0	0	0	0	0	0	0	0	0	0.627420604	0	0	0	0	0	0	0	0	0	0	0	0.914020139	0	0	0	0	0	0.0464756	0	0	0	0.666150271	0	0	0	0.061967467	0	0	0	0	2.47095275	0	0	0	0	0	0	0	0	1.913245546	0	0	0	0	2.300542215	0.580945004	1.076684741	0	0	0	0	0	1.804802479	0	0	0	0	0	1.355538342	0	0.193648335	0.883036406	0	0	0	0	0	0	2.788536019	0	0.588690937	0	0	0	0	0	0	0	1.750580945	0	0	0	0.224632068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.673121611	0	0	0	0	0	0	0	0	0	0	0.131680868	0	0	0	0	0	0
DRR100560	1	7.550769713	0	1.304200099	0	41.84678916	0	7.60565589	0.245680981	1.842607355	0	0.802383628	0	1.089882648	0	0.271817255	0	0	0	0	0.091476961	0	0	0	0.493975589	0	1.110791668	0	0	0	0	0	0	0	0	0.504430099	0	0	0	1.557721962	0.156817647	0	0	0.177726667	0	0	0	0	1.792948433	0	0.227385588	0.078408824	0	0.057499804	1.599540002	0	0	0	0	0.595907059	0.196022059	0	1.5707901	0.086249706	0	0	0	0	0	0	0	0	0	1.332950001	0	0.418180393	1.691016962	0	0	0	0	0	0	0	0	0.303180785	0	0	0	0	0	0	0.060113431	0	0	1.343404511	0	0.12284049	0	0.096704216	2.577036669	0.075795196	0.219544706	0.057499804	0.227385588	0.013068137	0	0	0	0	0	0.031363529	0.311021667	0.292726275	0	0	0	0.771020099	0.334544314	0	0	0	0	0	0.219544706	0	1.68317608	0	0	0	0	0	0	0	1.500222158	3.431692847	0	0	0.12284049	0	0	0.047045294	0.083636079	0.216931079	0.446930295	0	0.41033951	0	0	0	1.210109511	0	0.875565197	0	0	0.036590784	0.031363529	0	0	0	0	0	0	0	0	0	0.360680589	0	0	0.018295392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a206643	1	0	0	0	24.48149935	0	0	0	1.422862261	0	0	2.701026666	0	0.492661752	0	0.065458554	0	0	0	0	2.597671054	0	0	0	8.850685592	0	0	0	0	0	0	0	5.515744505	0	0	5.877489148	0	0	0	0	0	0	0	2.969751257	0	0	2.432302074	0	0	0	0.117136361	0	0	0	3.8379384	0	0.213601599	0	0	0	0	0	0	0.086129677	0	0.034451871	0	0	0	0	0.037897058	0	0	0	0.523668435	0	0	0	0	0	0.05856818	0.041342245	0	0	0	0.010335561	0	0	0	0	0	1.867291394	0	0	0	0	0	0	0	0	0	0	0	0.117136361	0	0	0	0	0	0	0	0	9.481154827	0	0	0	0	0.465100255	4.582098808	0	0.161923792	0.068903741	0	0	0	0.227382347	0	0	0	0	0	0	0.19982085	0	1.467649693	0	0	0.017225935	0	0	2.029215186	0.58912699	0	0	0	0	3.427961138	0	0	0	0	0	0	0	0	0	0.017225935	0	0.461655068	0	0	0	0	0	0	0	0.868187143	0	0	0.044787432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378970578	0	0	0	0	0	0	0	0
a206644	1	0	0	0	28.97349635	0.049232789	0	0	1.230819726	0	0	6.941823254	0	0.27078034	0	0	0	0	0	0	1.296463445	0	0	0	2.83088537	0	0.049232789	0	0	0	0	0	6.227947813	0	0	9.657832116	0	0	0	0	0	0	0	5.497661443	0	0	4.775580537	0	0	0	0.139492902	0	0	0	2.494461311	0	0	0	0	0	0	0	0	0	0	0.073849184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065643719	0	0	0	0	0.213342086	0	0	0	0	1.641092968	0	0	0	0	0	0	0	0	0	0	0	0.443095101	0	0	0	0	0	0	0	0	6.991056043	0	0	0	0	0.730286371	1.838024124	0	0.369245918	0	0	0	0	0.418478707	0	0	0	0	0	0	0.328218594	0	0.927217527	0	0	0	0	0.041027324	2.248297366	0.032821859	0	0	0	0	3.413473373	0	0	0	0	0	0	0	0	0	0	0	0.623615328	0	0	0	0	0	0	0	0.295396734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
