name	group	Phocaeicola vulgatus	Clostridium saccharobutylicum	Escherichia marmotae	Faecalibacterium prausnitzii	Pseudomonas fluorescens	Clostridium butyricum	Prevotella copri	Fusobacterium nucleatum	Eubacterium rectale	Phocaeicola dorei	Bacteroides xylanisolvens	Pseudomonas veronii	Bacteroides fragilis	Bacteroides thetaiotaomicron	Clostridium perfringens	Bacteroides stercoris	Streptococcus vestibularis	Blautia wexlerae	Ruminococcus gnavus	Pseudescherichia vulneris	Bacteroides uniformis	Faecalicatena orotica	Bacteroides kribbi	Citrobacter koseri	Clostridium saudiense	Haemophilus parainfluenzae	Bacteroides faecis	Phocaeicola plebeius	Cellulosilyticum lentocellum	Phocaeicola coprocola	Fusobacterium mortiferum	Bifidobacterium adolescentis	Erysipelatoclostridium ramosum	Abyssivirga alkaniphila	Akkermansia muciniphila	Prevotella albensis	Enterocloster clostridioformis	Duncaniella freteri	Streptococcus thermophilus	Gemmiger formicilis	Cutibacterium acnes	Blautia luti	Fusobacterium simiae	Anaerostipes hadrus	Streptococcus parasanguinis	Paeniclostridium ghonii	Eubacterium tenue	Collinsella aerofaciens	Turicibacter sanguinis	Coprococcus eutactus	Acidaminococcus intestini	Clostridium aurantibutyricum	Escherichia fergusonii	Bifidobacterium longum	Phocaeicola massiliensis	Ruminococcus albus	Fusicatenibacter saccharivorans	Oscillibacter valericigenes	Romboutsia timonensis	Ruminococcus bromii	Roseburia faecis	Bacteroides caccae	Bariatricus massiliensis	Citrobacter cronae	Ruminococcoides bili	Herbinix luporum	Ruminococcus torques	Alistipes putredinis	Klebsiella quasipneumoniae	Lachnospira eligens	Intestinibacter bartlettii	Clostridium paraputrificum	Pantoea beijingensis	Sutterella faecalis	Blautia faecicola	Subdoligranulum variabile	Enterobacter cloacae	Mediterraneibacter faecis	Streptococcus lutetiensis	Roseburia inulinivorans	Faecalimonas umbilicata	Anaerobutyricum hallii	Eubacterium siraeum	Parabacteroides merdae	Blautia obeum	Blautia hominis	Streptococcus peroris	Blautia caecimuris	Roseburia hominis	Alistipes onderdonkii	Prevotella stercorea	Bacteroides koreensis	Sutterella massiliensis	Enterococcus villorum	Clostridium saccharogumia	Loriellopsis cavernicola	Eisenbergiella massiliensis	Veillonella tobetsuensis	Blautia argi	Blautia faecis	Phascolarctobacterium faecium	Streptococcus sanguinis	Roseburia intestinalis	Veillonella dispar	Ralstonia pickettii	Dorea longicatena	Parasutterella excrementihominis	Clostridium spiroforme	Parvimonas micra	Fusobacterium varium	Kineothrix alysoides	Clostridium merdae	Anaeromassilibacillus senegalensis	Massiliprevotella massiliensis	Ruminococcus lactaris	Prevotella bivia	Dehalobacter restrictus	Dialister invisus	Bifidobacterium callitrichidarum	Holdemanella biformis	Streptococcus oralis	Veillonella infantium	Pseudoclostridium thermosuccinogenes	Prevotella corporis	Bacteroides eggerthii	Gracilibacter thermotolerans	Parabacteroides distasonis	Prevotella oris	Methanobrevibacter smithii	Bifidobacterium cebidarum	Clostridium tertium	Blautia marasmi	Comamonas terrae	Shigella boydii	Enterobacter mori	Ruminococcus champanellensis	Sutterella wadsworthensis	Lactobacillus rogosae	Blautia glucerasea	Pseudomonas tolaasii	Tyzzerella nexilis	Bacteroides ovatus	Alistipes shahii	Acinetobacter johnsonii	Prevotella buccalis	Mageeibacillus indolicus	Megamonas funiformis	Clostridium polysaccharolyticum	Alistipes finegoldii	Veillonella atypica	Corynebacterium xerosis	Alistipes timonensis	Acetivibrio straminisolvens	Acinetobacter gerneri	Oscillibacter ruminantium	Ruthenibacterium lactatiformans	Romboutsia sedimentorum	Lawsonibacter asaccharolyticus	Lachnoclostridium pacaense	Bacteroides timonensis	Eubacterium coprostanoligenes	Bacteroides finegoldii	Mesosutterella multiformis	Sutterella timonensis	Ruminococcus callidus	Enterococcus nangangensis	Dorea formicigenerans	Eisenbergiella tayi	Lachnospira pectinoschiza	Haemophilus seminalis	Eubacterium xylanophilum	Monoglobus pectinilyticus	Phascolarctobacterium succinatutens	Intestinimonas butyriciproducens	Bacteroides mediterraneensis	Sutterella stercoricanis	Barnesiella intestinihominis	Coprococcus comes	Megasphaera elsdenii	Mobilitalea sibirica	Campylobacter gracilis	Acidovorax temperans	Alistipes ihumii	Neglectibacter timonensis	Vallitalea guaymasensis	Hungatella effluvii	Lawsonella clevelandensis	Flavonifractor plautii	Ligilactobacillus ruminis	Butyribacter intestini	Coprobacillus cateniformis	Clostridium herbivorans	Paraprevotella clara	Bifidobacterium faecale	Lacrimispora amygdalina	Savagea faecisuis	Bifidobacterium pseudocatenulatum	Flintibacter butyricus	Brevundimonas vesicularis	Sporobacter termitidis	Acutalibacter muris	Merdimonas faecis	Petrocella atlantisensis	Odoribacter splanchnicus	Anaerotignum lactatifermentans	Catenibacterium mitsuokai	Streptococcus equinus	Dialister propionicifaciens	Bacteroides salyersiae	Bifidobacterium bifidum	Coprobacter fastidiosus	Anaerofilum agile	Clostridium methoxybenzovorans	Campylobacter showae	Streptococcus salivarius	Blautia schinkii	Longibaculum muris	Hungatella xylanolytica	Negativibacillus massiliensis	Raoultella planticola	Anaerococcus vaginalis	Gluceribacter canis	Anaerotignum faecicola	Proteus mirabilis	Paenibacillus humicus	Streptococcus anginosus	Parabacteroides johnsonii	Barnesiella viscericola	Butyricicoccus faecihominis	Granulicatella adiacens	Ruminiclostridium cellobioparum	Acetobacter sicerae	Chloroflexus islandicus	Ercella succinigenes
DRR100552	1	52.91718685	0	0.066583437	5.663753641	0	0	0	0	0	0	2.567623804	0	0	0	0	0	0	0.88639201	1.872659176	0	0.728256346	0	0	0	0	2.363712027	0	0	0	0	0	0	0.058260508	0	0	0	0.170620058	0	0	0	0	0	0	0.453599667	0	0	0	0	0	0	0	0	0	0	0	0	0.678318768	0	0	0	0	0	0	22.0474407	0	0	0.503537245	0	0	0	0.079067832	0.262172285	0	0	0	0	0	0	0	0	0	0	0	0	0.3786933	0	0	0	0	0	0	0	0	0	0	0.024968789	0	0.074906367	0	0.203911777	0	0	0	0.162297129	0	0.208073242	0	0	0	0.478568456	0.449438202	0	0	0	0	0	0	0.095713691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058260508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.865584686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12068248	0	0	0	0	0	0	0	0	2.813150229	0	0	0	0	0	0	0	0	0	0.923845194	0	0	0	0	0	0	0	0	0	0	0	0.024968789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24136496	0
DRR100553	1	36.91785252	0	0.274902975	3.666720569	0	0	0	0	0	0	1.269404916	0	0	0	0	0	0	0.355756792	6.169146184	0	0.489165589	0	0	0	0	2.401358344	0	0	0	0	0	0	0.331500647	0	0	0	0.145536869	0	0	0	0	0	0	0.380012937	0	0	0	0	0	0	0	0	0	0	0	0	0.533635188	0	0	0	0	0	0	38.34087969	0	0	2.389230272	0	0	0	0	0.056597671	0	0	0.064683053	0	0	0	0	0.040426908	0	0	0	0	0.303201811	0	0	0	0	0	0	0	0	0	0	0	0	0.024256145	0	0	0	0	0.040426908	0.230433376	0	0.663001294	0	0	0	0.238518758	0.173835705	0	0	0	0.028298836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040426908	0	0	0	0	0	0	0	0	0	0	0	0	0	0.950032342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10106727	0	0.016170763	0	0	0	0	0	0	1.520051746	0	0	0	0	0	0	0	0	0	0.367884864	0	0	0	0	0	0	0	0	0	0	0	0.044469599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157664942	0
DRR100554	1	48.66563086	0	0.009139515	8.284970068	0	0	0	0	0	0	1.722798519	0	0	0	0	0	0	0.749440205	1.754786821	0	0.642050907	0	0	0	0	3.80432299	0	0	0	0	0	0	0.164511264	0	0	0	0.12109857	0	0.025133665	0	0	0	0	0.411278161	0	0	0	0	0	0	0	0	0	0	0	0	2.079239592	0	0	0	0.025133665	0	0	19.85559567	0	0	0.790568021	0	0	0	0.098249783	0.251336654	0	0	0	0	0	0	0	0.109674176	0	0	0	0	0.509527944	0	0	0	0.093680026	0	0	0	0	0	0	0	0	0.045697573	0	0.153086871	0	0	0	0.235342503	0	0.377004981	0	0	0	0.56893479	0.738015811	0	0	0	0.022848787	0	0	0.185075173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022848787	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781428506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306173742	0	0.059406845	0	0	0	0	0	0	3.859160079	0	0	0	0	0	0	0	0	0	0.936800256	0	0	0	0	0	0	0	0	0	0	0	0.079970754	0.015994151	0	0	0	0	0	0	0	0	0	0	0	0.020563908	0	0	0.047982452	0
DRR100555	1	0	0	0.350212967	20.64363464	0	0	0	0	0	34.9361098	0.227165168	0	0	0	0	0	0	0.160908661	0	0	10.81874113	0	0	0	0	0	9.304306673	0	0	0	0	0	0	0	0	0	1.751064837	0	0.094652153	0	0	0.624704212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.215333649	0	0	0	0	0	0	0	1.826786559	0	0	0	0	0	0	0.227165168	0	0	0	0	0	0	0	0	0	0.842404165	0	0	0	0	1.041173687	0	1.609086607	0	0	0	0	0	0	0.302886891	0.28395646	0.795078088	0	0	0.018930431	0	0.331282537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369143398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634169427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037860861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198769522	0	0	0	0	0	0	0.615238997	0	0	0.937056318	0	0	0	0.340747752	0	0.151443445	0	0	0	0	2.470421202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.817321344	0	0	0	0	0	0	0
DRR100556	1	10.79365079	0	0	5.714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.222222222	0	0	0	0	7.936507937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.492063492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.031746032	8.888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.63492063	0	0	0	0.476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.47619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.301587302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.126984127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR100557	1	51.03806228	0	0	4.46366782	0	0	0	0	0	0	0	0	0	0	0	0.657439446	0	0.795847751	1.038062284	0	0.207612457	0	0	0	0	0	0	0	0	0	0	0	1.003460208	0	0	0	0	0	0	0	0	0.415224913	0	1.418685121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23183391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415224913	1.833910035	0.415224913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.968858131	0	0	0	0	0.726643599	4.948096886	0	0	0	0.865051903	0	0	0	12.04152249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.664359862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62283737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311418685	0	0	0	0	0	0	0.553633218	0	0	0.968858131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.795847751	0	0	0	0	0
DRR100558	1	7.609079149	0	1.117252734	7.703163589	0	0	0	0.376337763	7.326825826	0	0	0	0.188168882	0	0	0	0	0	0.211689992	0	0	0	0	0	0	1.587674938	0	0.517464424	0	0	0	0	1.034928849	0	0	0	0	0	0	0	0	0	0	12.71316006	0	0	0	0	0	0	0	0	0	0.517464424	0	0	0.176408326	0	0	0	0	0	0	0	0	0	0.682112196	0	0	0.058802775	0	0	0	0	0.364577208	0.105844996	0.411619428	4.257320946	0	0.59978831	0.811478302	2.99894155	0	0	0.505703869	0	0	0	0	0	0	0.282253322	2.281547689	0	2.95189933	0	0	0	0	0.5762672	0	0	7.17393861	0.411619428	0	6.715276961	0	0	0	0	4.668940374	0	0	0	1.340703281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.211337175	0	0.294013877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.164294955	0	0	0	0	0	0	0	0	0	0	0.693872751	0	0	0	0	0	0	0	0.235211102	0.058802775	0	0	0	0	0	0	0	5.186404798	0	0	0	0	0	0	0.329295543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341056098	0	0	0	0	0	0	0	0	0.094084441	0	0	1.893449371	0
DRR100559	1	27.88536019	0	0.596436871	7.776917119	0	0	0	0.232378002	6.553059644	0	0	0	0	0	0	0.542215337	0	0	0	0	0.0697134	0	0	0	0	0.766847405	0.108443067	1.820294345	0	0	0	0.883036406	1.076684741	0	0	0	0	0	0	0	0	0.061967467	0	10.57319907	0	0	0	0.580945004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100697134	0	0	0.627420604	0	0	0	0	2.788536019	0	0	7.017815647	0	0.193648335	0	0.588690937	0	0.092951201	1.913245546	0	0	0	0	0	0	0.387296669	1.673121611	0	2.47095275	0	0.0464756	0	0	0	0	0	3.237800155	0.302091402	0	1.804802479	0	0	0	0	1.216111541	0	0	0	0.666150271	0	0	0	0	0	0	0	0	0	0	0.100697134	0	0	0	0	0	0	0	0	0	0	0	0.914020139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.750580945	0	0	0	0	0	0	0	0	0	0	1.673121611	0	0	0	0	0	0	0	0.193648335	0.247869868	0	0	0	0	0	0	0	2.300542215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224632068	0	0	1.355538342	0
DRR100560	1	7.550769713	0	0.245680981	41.84678916	0	0	0	0	0	0	1.304200099	0	7.60565589	0	0	1.842607355	0	1.557721962	0.271817255	0	0.802383628	0	0	0	0	0.091476961	1.089882648	0	0	0	0	3.431692847	0	0	0.078408824	0	0.493975589	0	1.110791668	2.577036669	0	0.096704216	0	1.792948433	0	0	0	0	0	2.3705601	0	0	0	0	0	0.057499804	1.5707901	0	0	0.060113431	0.219544706	0	0	0	0	0	0.504430099	0	0	1.332950001	0.086249706	0	0	0	0.083636079	0	0	0.177726667	0	0.156817647	0	0.446930295	0	0	0.292726275	0	0	0	0.216931079	0	0	0	0	0	0.227385588	0	0	0	0	0.075795196	0.595907059	0	0.196022059	0.227385588	0	1.68317608	1.691016962	0	0	0	1.599540002	0	0.013068137	0	1.343404511	0	0	0.418180393	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023522647	0	0	0	0.219544706	0	0.303180785	0	0	0	0	0.086249706	0	0	0	0	0	0	0.12284049	0	0	0	0	0.771020099	0	0	0.305794412	0.12284049	0	0.114999608	0	0	0	0	0	0.875565197	0.214317451	0.031363529	0	0	0.036590784	0	0.057499804	0	0	0	0	0	0	0	0	0	0	0	1.500222158	0	0.125454118	0	0.12284049	0	0	0	0	0.334544314	0	0	0.047045294	0	0.452157549	0.02090902	0.360680589	0	0	0.311021667	0	0	0	0	0	0	0	0	0	0	0	0	1.210109511	0	0	0	0	0	0	0	0	0	0	0.078408824	0.031363529	0	0	0	0
DRR100561	1	1.637554585	0	0	25.65502183	0	0	0	0	0	0	4.475982533	0	2.838427948	0	0	0.76419214	0	7.751091703	0	0	2.620087336	0	0	0	0	0	0	0	0	0	0	4.912663755	0	0	0	0	0.982532751	0	1.419213974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76419214	0.982532751	0	0	0	1.200873362	0	0	0	0	0	1.091703057	0	0	2.074235808	0	0	0	0	0	0	0	1.419213974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436681223	0	0	0	0	0	2.183406114	0	0	0	0	7.423580786	5.349344978	0	0	0	0.545851528	0	0	0	2.292576419	0	0	1.200873362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76419214	0	2.292576419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.310043668	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218340611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545851528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
